object_id,abs_magn
713,-51.26739324
730,-49.84973367
745,-54.2779447
1124,-52.8184136
1598,-57.92242318
1632,-50.00622584
1920,-54.74533707
2072,-47.19583081
2103,-55.88050726
2300,-54.27811877
2330,-48.78235814
2922,-54.70510557
3041,-48.23623903
3285,-52.3166085
3423,-53.55406611
3489,-50.51662352
3910,-59.13788509
4088,-42.0691
4132,-48.73491225
4173,-56.25864782
4220,-55.60005456
4389,-51.97806536
4595,-54.71544532
4819,-55.16026295
5527,-56.96180446
6180,-54.06906716
6762,-50.08624246
6947,-53.16698285
7033,-57.57616868
7164,-54.7685531
7315,-57.98726238
7409,-50.32926519
7698,-45.51630301
7703,-50.585896
8328,-50.00601579
8745,-51.83310535
9184,-56.54657143
9203,-54.90662143
9936,-49.60580113
10321,-59.14118286
10337,-52.69817632
10478,-51.78636749
10586,-54.74684332
10757,-53.47401507
10798,-51.16582606
11359,-52.49380362
11507,-56.3435758
11770,-52.03359738
11773,-51.70360155
11978,-49.23796597
13079,-62.64009042
13138,-59.2582146
13194,-53.71111922
13459,-54.11178749
13482,-52.83714595
13504,-51.53239341
14279,-54.86257646
14398,-48.76059784
14539,-55.20970446
14553,-58.85298619
14601,-47.43752025
14674,-50.11458713
14983,-53.69208811
15002,-54.76922062
15251,-56.64700055
15674,-54.88620175
15718,-57.12294652
15845,-54.90354954
15968,-54.96388268
16463,-46.64443376
16496,-52.20467643
16802,-53.61110907
16983,-51.80108586
17285,-54.33624149
17366,-48.24302638
17370,-54.80628033
17515,-54.64354213
18029,-55.28816001
18507,-56.296652
18645,-51.84176781
18706,-57.12639402
18937,-55.40522074
18952,-49.46894024
19154,-59.62867762
19213,-54.81524766
19866,-54.84199355
20567,-49.84941095
20934,-61.8399521
21335,-48.80670102
22184,-54.11921762
22901,-54.86811585
23116,-53.59331084
23127,-52.34718398
23299,-42.4624
23373,-52.6450963
23396,-52.54809195
23409,-46.2990808
23539,-58.9454842
23822,-50.40291505
23848,-53.39537462
23857,-48.69853803
23931,-42.8832
24193,-44.9919
24592,-54.3977033
24947,-53.29560193
24989,-54.76298987
25003,-52.54524709
25039,-48.19980343
25474,-50.57026779
25529,-52.26677444
25577,-54.1903284
25783,-45.25741632
25925,-52.26384661
26338,-45.78942285
26531,-54.58450446
27339,-48.9289606
27941,-54.57135936
28220,-48.46119969
28301,-50.78587657
28636,-57.4295558
28843,-50.14006448
29088,-55.57214239
29252,-51.85534009
29416,-55.91721729
29420,-53.21229021
29576,-51.25276489
29668,-53.48668223
29670,-55.1406359
30172,-51.92580226
30191,-58.6278666
30545,-55.85139538
